country	date	category	type	confirmed	probable	suspected	total	label
Senegal	2014-10-17	cases	2014-10-17-cases	1	0	0	1	Senegal-cases-2014-10-17
United Kingdom	2015-03-02	deaths	2015-03-02-deaths	0	0	0	0	United Kingdom-deaths-2015-03-02
Senegal	2015-01-02	cases	2015-01-02-cases	1	0	0	1	Senegal-cases-2015-01-02
Liberia	2014-12-03	cases	2014-12-03-cases	2801	1792	3042	7635	Liberia-cases-2014-12-03
Senegal	2014-09-12	deaths	2014-09-12-deaths	0	0	0	0	Senegal-deaths-2014-09-12
Liberia	2015-01-23	deaths	2015-01-23-deaths	0	0	0	3636	Liberia-deaths-2015-01-23
United States of America	2015-02-19	cases	2015-02-19-cases	4	0	0	4	United States of America-cases-2015-02-19
Nigeria	2015-02-12	cases	2015-02-12-cases	19	1	0	20	Nigeria-cases-2015-02-12
Senegal	2015-02-05	cases	2015-02-05-cases	1	0	0	1	Senegal-cases-2015-02-05
Sierra Leone	2015-03-06	cases	2015-03-06-cases	8389	287	2841	11517	Sierra Leone-cases-2015-03-06
Sierra Leone	2015-02-18	cases	2015-02-18-cases	8212	287	2604	11103	Sierra Leone-cases-2015-02-18
Mali	2015-02-23	deaths	2015-02-23-deaths	0	0	0	6	Mali-deaths-2015-02-23
Spain	2015-02-13	cases	2015-02-13-cases	1	0	0	1	Spain-cases-2015-02-13
Nigeria	2014-12-22	cases	2014-12-22-cases	19	1	0	20	Nigeria-cases-2014-12-22
Senegal	2015-02-17	deaths	2015-02-17-deaths	0	0	0	0	Senegal-deaths-2015-02-17
Nigeria	2015-03-02	deaths	2015-03-02-deaths	7	1	0	8	Nigeria-deaths-2015-03-02
Senegal	2015-01-21	deaths	2015-01-21-deaths	0	0	0	0	Senegal-deaths-2015-01-21
Guinea	2015-02-23	cases	2015-02-23-cases	2758	387	10	3155	Guinea-cases-2015-02-23
Spain	2014-11-05	deaths	2014-11-05-deaths	0	0	0	0	Spain-deaths-2014-11-05
United Kingdom	2015-01-27	cases	2015-01-27-cases	1	0	0	1	United Kingdom-cases-2015-01-27
Sierra Leone	2014-09-12	cases	2014-09-12-cases	1287	37	100	37	Sierra Leone-cases-2014-09-12
United States of America	2015-02-25	deaths	2015-02-25-deaths	1	0	0	1	United States of America-deaths-2015-02-25
Mali	2014-11-21	cases	2014-11-21-cases	5	1	0	6	Mali-cases-2014-11-21
Guinea	2014-10-10	deaths	2014-10-10-deaths	598	180	0	778	Guinea-deaths-2014-10-10
Liberia	2015-01-13	cases	2015-01-13-cases	3123	1833	3322	8278	Liberia-cases-2015-01-13
Mali	2015-02-19	cases	2015-02-19-cases	7	1	0	8	Mali-cases-2015-02-19
Guinea	2014-11-07	deaths	2014-11-07-deaths	850	204	0	1054	Guinea-deaths-2014-11-07
Senegal	2015-01-20	cases	2015-01-20-cases	1	0	0	1	Senegal-cases-2015-01-20
United Kingdom	2015-01-28	deaths	2015-01-28-deaths	0	0	0	0	United Kingdom-deaths-2015-01-28
Guinea	2015-01-05	deaths	2015-01-05-deaths	1488	280	0	1767	Guinea-deaths-2015-01-05
Nigeria	2015-01-02	deaths	2015-01-02-deaths	7	1	0	8	Nigeria-deaths-2015-01-02
United States of America	2014-11-19	deaths	2014-11-19-deaths	1	0	0	1	United States of America-deaths-2014-11-19
Mali	2015-02-06	cases	2015-02-06-cases	7	1	0	8	Mali-cases-2015-02-06
United States of America	2014-10-17	deaths	2014-10-17-deaths	1	0	0	1	United States of America-deaths-2014-10-17
Sierra Leone	2015-02-17	deaths	2015-02-17-deaths	3042	208	158	3408	Sierra Leone-deaths-2015-02-17
Nigeria	2015-01-22	cases	2015-01-22-cases	19	1	0	20	Nigeria-cases-2015-01-22
